[People/NNS, show/VBP, their/PRP$, affection/NN, for/IN, each/DT, other/JJ, ./.] 	[A/DT, women/NNS, giving/VBG, something/NN, to/TO, other/JJ, lady/NN, ./.] 	1
[A/DT, pianist/NN, and/CC, a/DT, singer/NN, are/VBP, ready/JJ, to/TO, perform/VB, ./.] 	[The/DT, musician/NN, have/VBP, a/DT, guitar/NN, and/CC, is/VBZ, waiting/VBG, to/TO, perform/VB, ./.] 	18
[They/PRP, are/VBP, alone/RB, ./.] 	[They/PRP, are/VBP, alone/RB, ./.] 	19
[A/DT, cigarette/NN, is/VBZ, light/JJ, ./.] 	[A/DT, man/NN, is/VBZ, smoking/VBG, a/DT, cigarette/NN, and/CC, holding/VBG, a/DT, honeycomb/NN, ./.] 	20
[A/DT, boy/NN, is/VBZ, in/IN, an/DT, office/NN, building/NN, ./.] 	[A/DT, child/NN, is/VBZ, in/IN, an/DT, office/NN, building/NN, ./.] 	21
[A/DT, monkey/NN, eats/VBZ] 	[the/DT, kid/NN, eats/VBZ, a/DT, frog/NN] 	22
[A/DT, dog/NN, jumps/VBZ, over/IN, obstacles/NNS, for/IN, a/DT, canine/JJ, show/NN, ./.] 	[A/DT, dog/NN, jumps/VBZ, over/IN, something/NN, ./.] 	23
[A/DT, man/NN, is/VBZ, holding/VBG, hats/NNS, trying/VBG, to/TO, sell/VB, them/PRP, on/IN, the/DT, street/NN, ./.] 	[A/DT, man/NN, tries/VBZ, to/TO, sell/VB, something/NN, on/IN, the/DT, street/NN, ./.] 	24
[The/DT, trees/NNS, are/VBP, all/DT, lush/JJ, and/CC, green/JJ, ./.] 	[All/DT, of/IN, the/DT, trees/NNS, are/VBP, green/JJ, with/IN, freshly/RB, bloomed/VBN, leaves/NNS, ./.] 	25
[An/DT, older/JJR, woman/NN, sits/VBZ, next/JJ, to/TO, a/DT, small/JJ, girl/NN, who/WP, is/VBZ, wearing/VBG, a/DT, striped/JJ, dress/NN, ./.] 	[A/DT, woman/NN, is/VBZ, dressed/VBN, up/RP, ./.] 	26
[They/PRP, are/VBP, watching/VBG, their/PRP$, favorite/JJ, team/NN, play/NN, ./.] 	[They/PRP, are/VBP, cheering/VBG, for/IN, their/PRP$, favorite/JJ, team/NN, ./.] 	27
[You/PRP, can/MD, see/VB, more/JJR, than/IN, one/CD, dog/NN, in/IN, the/DT, photo/NN, ./.] 	[You/PRP, can/MD, see/VB, that/IN, there/EX, is/VBZ, more/JJR, than/IN, one/CD, animal/NN, in/IN, the/DT, shot/NN, ./.] 	28
[A/DT, man/NN, wearing/VBG, a/DT, helmet/NN, riding/VBG, his/PRP$, bicycle/NN, on/IN, the/DT, street/NN, ./.] 	[A/DT, man/NN, is/VBZ, riding/VBG, a/DT, blue/JJ, bicycle/NN, helmet/VB, down/RP, a/DT, busy/JJ, street/NN, ./.] 	29
[A/DT, woman/NN, sits/VBZ, while/IN, playing/VBG, a/DT, guitar/NN, ./.] 	[A/DT, woman/NN, is/VBZ, playing/VBG, a/DT, piano/NN, ./.] 	30
[A/DT, woman/NN, looks/VBZ, at/IN, another/DT, person/NN, ./.] 	[A/DT, woman/NN, is/VBZ, looking/VBG, at/IN, a/DT, person/NN, ./.] 	31
[The/DT, police/NNS, are/VBP, trying/VBG, to/TO, help/VB, people/NNS, ./.] 	[The/DT, people/NNS, are/VBP, trying/VBG, to/TO, get/VB, home/NN, ./.] 	32
[A/DT, boy/NN, with/IN, a/DT, pacifier/NN, in/IN, his/PRP$, mouth/NN, is/VBZ, sitting/VBG, in/IN, a/DT, suitcase/NN, ./.] 	[A/DT, child/NN, in/IN, a/DT, stroller/NN, with/IN, a/DT, pacifier/NN, in/IN, its/PRP$, mouth/NN, ./.] 	33
[There/EX, are/VBP, people/NNS, participating/VBG, in/IN, competitive/JJ, swimming/NN, ./.] 	[These/DT, people/NNS, are/VBP, swimming/VBG, in/IN, a/DT, competition/NN, ./.] 	34
[A/DT, group/NN, of/IN, people/NNS, sitting/VBG, around/IN, discussing/VBG, something/NN, ./.] 	[There/EX, is/VBZ, a/DT, group/NN, of/IN, people/NNS, standing/VBG, around/RB, ,/,, looking/VBG, like/IN, they/PRP, are/VBP, waiting/VBG, for/IN, something/NN, ./.] 	35
[A/DT, group/NN, of/IN, people/NNS, posing/VBG, outside/IN, a/DT, building/NN, for/IN, a/DT, photo/NN, shoot/NN, of/IN, a/DT, magazine/NN, ./.] 	[A/DT, group/NN, of/IN, people/NNS, pose/VBP, for/IN, a/DT, photograph/NN, ./.] 	36
[A/DT, group/NN, of/IN, three/CD, young/JJ, adults/NNS, stopped/VBD, to/TO, pose/VB, for/IN, a/DT, photo/NN, outside/IN, a/DT, clothing/NN, store/NN, ./.] 	[The/DT, children/NNS, are/VBP, taking/VBG, a/DT, picture/NN, outside/NN, ./.] 	37
[A/DT, girl/NN, runs/VBZ, down/IN, the/DT, street/NN, ./.] 	[A/DT, boy/NN, runs/VBZ, down/IN, the/DT, street/NN, ./.] 	38
[A/DT, young/JJ, man/NN, turning/VBG, a/DT, screwdriver/NN, ./.] 	[A/DT, young/JJ, person/NN, turning/VBG, a/DT, screwdriver/NN, ./.] 	39
[A/DT, boy/NN, is/VBZ, with/IN, his/PRP$, pet/NN, ./.] 	[A/DT, man/NN, holding/VBG, a/DT, child/NN, and/CC, a/DT, baby/NN, ./.] 	40
[A/DT, man/NN, flies/VBZ, on/IN, a/DT, carpet/NN, ./.] 	[Dogs/NNS, pull/VBP, a/DT, man/NN, on/IN, a/DT, sled/NN, down/IN, a/DT, hill/NN, ./.] 	41
[The/DT, woman/NN, is/VBZ, crying/VBG, while/IN, she/PRP, plays/VBZ, the/DT, guitar/NN, ./.] 	[The/DT, man/NN, is/VBZ, singing/NN, and/CC, the/DT, woman/NN, is/VBZ, playing/VBG, guitar/NN, ./.] 	42
[The/DT, child/NN, jumps/VBZ, to/TO, the/DT, other/JJ, mattress/NN, ./.] 	[The/DT, child/NN, is/VBZ, holding/VBG, the/DT, toys/NNS, up/IN, to/TO, his/PRP$, eyes/NNS, ./.] 	43
[A/DT, shirtless/JJ, boy/NN, is/VBZ, taking/VBG, a/DT, nap/NN, in/IN, the/DT, grass/NN, ./.] 	[A/DT, boy/NN, walking/VBG, in/IN, the/DT, grass/NN, ./.] 	44
[A/DT, man/NN, sleeps/VBZ, in/IN, his/PRP$, bed/NN, ./.] 	[An/DT, old/JJ, person/NN, sleeps/NNS, in/IN, a/DT, bed/NN, ./.] 	45
[The/DT, white/JJ, dog/NN, is/VBZ, getting/VBG, a/DT, bath/NN, in/IN, the/DT, canine/JJ, hairdressers/NNS, ./.] 	[The/DT, white/JJ, dog/NN, is/VBZ, taking/VBG, a/DT, bath/NN] 	46
[A/DT, woman/NN, reading/NN, while/IN, waiting/VBG, for/IN, a/DT, train/NN, ./.] 	[A/DT, man/NN, is/VBZ, reading/VBG, while/IN, waiting/VBG, for/IN, a/DT, bus/NN, ./.] 	47
[An/DT, Asian/JJ, man/NN, standing/NN, by/IN, a/DT, door/NN, points/NNS, to/TO, something/NN, ./.] 	[A/DT, person/NN, stands/VBZ, with/IN, their/PRP$, back/NN, to/TO, us/PRP, ./.] 	48
[A/DT, woman/NN, and/CC, a/DT, young/JJ, girl/NN, are/VBP, seated/VBN, at/IN, a/DT, table/NN, in/IN, a/DT, restaurant/NN, ./.] 	[a/DT, woman/NN, and/CC, a/DT, boy/NN, are/VBP, sitting/VBG, at/IN, a/DT, table/NN] 	49
[The/DT, man/NN, wears/VBZ, a/DT, thong/NN, and/CC, is/VBZ, standing/VBG, on/IN, the/DT, stool/NN, ./.] 	[A/DT, man/NN, wearing/VBG, tan/NN, pants/NNS, and/CC, blue/JJ, shirt/NN, is/VBZ, sitting/VBG, on/IN, a/DT, sidewalk/NN, resting/VBG, ./.] 	50
[A/DT, girl/NN, is/VBZ, reading/VBG, about/IN, trains/NNS, ./.] 	[There/EX, is/VBZ, a/DT, girl/NN, reading/NN, ./.] 	51
[The/DT, animals/NNS, are/VBP, domesticated/VBN, ./.] 	[The/DT, dogs/NNS, are/VBP, reptiles/NNS, ./.] 	52
[Two/CD, men/NNS, are/VBP, together/RB, preparing/VBG, to/TO, do/VB, gymnastics/NNS, ./.] 	[The/DT, men/NNS, and/CC, women/NNS, are/VBP, going/VBG, to/TO, perform/VB, ./.] 	53
[A/DT, person/NN, is/VBZ, tying/VBG, his/PRP$, hair/NN, in/IN, a/DT, forest/NN] 	[A/DT, person/NN, is/VBZ, in/IN, the/DT, water/NN, and/CC, throwing/VBG, their/PRP$, hair/NN, back/RB, ./.] 	54
[The/DT, window/NN, is/VBZ, small/JJ, ./.] 	[the/DT, room/NN, is/VBZ, large/JJ] 	55
[One/CD, girl/NN, is/VBZ, wetting/VBG, another/DT, with/IN, her/PRP$, water/NN, gun/NN, ./.] 	[A/DT, girl/NN, is/VBZ, inside/IN, with/IN, her/PRP$, dog/NN] 	56
[A/DT, group/NN, of/IN, hikers/NNS, wearing/VBG, green/JJ, ,/,, red/JJ, and/CC, black/JJ, standing/NN, in/IN, the/DT, dirt/NN, in/IN, a/DT, wooded/JJ, area/NN] 	[Two/CD, brown/JJ, and/CC, white/JJ, dogs/NNS, fighting/VBG, on/IN, a/DT, grassy/JJ, area/NN, in/IN, front/NN, of/IN, a/DT, tree/NN, ./.] 	57
[The/DT, man/NN, has/VBZ, put/VBN, on/IN, elbow/NN, pads/NNS, and/CC, a/DT, helmet/NN, ./.] 	[The/DT, man/NN, has/VBZ, on/IN, elbow/NN, pads/NNS, ./.] 	58
[Two/CD, riders/NNS, on/IN, their/PRP$, horses/NNS, on/IN, a/DT, racetrack/NN, ./.] 	[Two/CD, dogs/NNS, racing/VBG, on/IN, a/DT, track/NN, ./.] 	59
[A/DT, man/NN, is/VBZ, standing/VBG, next/JJ, to/TO, two/CD, children/NNS, on/IN, a/DT, hot/JJ, day/NN, ./.] 	[A/DT, man/NN, and/CC, woman/NN, are/VBP, running/VBG, to/TO, the/DT, store/NN, on/IN, a/DT, Summer/NN, day/NN] 	60
[A/DT, man/NN, in/IN, a/DT, blue/JJ, shirt/NN, is/VBZ, in/IN, a/DT, hut/NN, in/IN, a/DT, village/NN, ./.] 	[The/DT, man/NN, in/IN, a/DT, blue/JJ, sweatshirt/NN, is/VBZ, in/IN, a/DT, kitchen/NN, ./.] 	61
[A/DT, cameraman/NN, goes/VBZ, out/IN, to/TO, eat/VB, with/IN, his/PRP$, family/NN, ./.] 	[A/DT, man/NN, is/VBZ, waiting/VBG, for/IN, his/PRP$, friend/NN, to/TO, catch/VB, up/RP, ./.] 	62
[A/DT, man/NN, is/VBZ, sitting/VBG, in/IN, a/DT, taxi/NN, ./.] 	[The/DT, woman/NN, is/VBZ, in/IN, a/DT, taxi/NN, cab/NN, ./.] 	63
[The/DT, nose/NN, has/VBZ, a/DT, mucus/NN, inside/IN, ./.] 	[The/DT, dog/NN, has/VBZ, a/DT, stick/NN, in/IN, it/PRP, 's/VBZ, mouth/NN, ./.] 	64
[A/DT, man/NN, fishing/NN, is/VBZ, relaxing/VBG, while/IN, fishing/NN, ./.] 	[A/DT, man/NN, is/VBZ, fishing/NN, alone/RB, ./.] 	65
[Two/CD, people/NNS, are/VBP, talking/VBG, about/IN, life/NN, at/IN, a/DT, table/NN, ./.] 	[There/EX, are/VBP, two/CD, people/NNS, looking/VBG, at/IN, a/DT, book/NN, ./.] 	66
[A/DT, man/NN, stands/VBZ, on/IN, a/DT, ladder/NN, near/IN, huge/JJ, tanks/NNS, ./.] 	[A/DT, man/NN, on/IN, a/DT, ladder/NN, is/VBZ, power/NN, washing/VBG, a/DT, building/NN, ./.] 	67
[There/EX, are/VBP, a/DT, lot/NN, of/IN, people/NNS, out/IN, in/IN, front/NN, of/IN, an/DT, enlarged/JJ, giant/JJ, figure/NN, of/IN, Oscar/NNP, the/DT, Grumpy/NNP] 	[Many/JJ, people/NNS, are/VBP, leading/VBG, a/DT, giant/JJ, blow-up/NN, figure/NN, of/IN, Oscar/NNP, the/DT, Grouch/NNP, in/IN, his/PRP$, can/MD, down/RB, a/DT, street/NN, ./.] 	68
[A/DT, person/NN, is/VBZ, trying/VBG, to/TO, hit/VB, the/DT, ball/NN, ./.] 	[A/DT, child/NN, is/VBZ, trying/VBG, to/TO, hit/VB, a/DT, ball/NN, ./.] 	69
[A/DT, cowboy/NN, and/CC, his/PRP$, horse/NN, slip/NN, in/IN, the/DT, mud/NN, ./.] 	[Man/NN, with/IN, cowboy/NN, hat/NN, loading/VBG, a/DT, chest/NN, onto/IN, a/DT, pack/NN, of/IN, horses/NNS, in/IN, the/DT, wilderness/NN, ./.] 	70
[Men/NN, feel/VB, hot/JJ, ./.] 	[The/DT, people/NNS, get/VBP, wet/JJ, in/IN, the/DT, rain/NN, ,/,, and/CC, they/PRP, think/VBP, it/PRP, is/VBZ, funny/JJ, ./.] 	71
[A/DT, nun/NN, looks/VBZ, for/IN, weapons/NNS, in/IN, a/DT, priest/NN, ./.] 	[An/DT, elderly/JJ, man/NN, is/VBZ, holding/VBG, a/DT, gun/NN, ./.] 	72
[A/DT, person/NN, in/IN, a/DT, SpongeBob/NNP, costume/NN, awaits/VBZ, a/DT, hot/JJ, dog/NN, ./.] 	[A/DT, dog/NN, is/VBZ, in/IN, a/DT, dog/NN, show/NN, ./.] 	73
[Mischief/NN, in/IN, an/DT, indoor/JJ, pool/NN, ./.] 	[A/DT, little/JJ, girl/NN, is/VBZ, covered/VBN, in/IN, a/DT, towel/NN, at/IN, a/DT, swimming/NN, pool/NN, ./.] 	74
[Babies/NNS, are/VBP, working/VBG, on/IN, a/DT, construction/NN, site/NN, ./.] 	[Two/CD, people/NNS, are/VBP, working/VBG, at/IN, a/DT, construction/NN, site/NN, ./.] 	75
[The/DT, dogs/NNS, sleep/VB, in/IN, heaps/NNS, ./.] 	[A/DT, dog/NN, laying/VBG, in/IN, the/DT, water/NN, ./.] 	76
[A/DT, dog/NN, runs/VBZ, through/IN, a/DT, mud/NN, puddle/NN] 	[A/DT, child/NN, scoops/VBZ, dirt/NN, into/IN, a/DT, bucket/NN, ./.] 	77
[The/DT, children/NNS, are/VBP, in/IN, a/DT, karate/JJ, tournament/NN, ./.] 	[Two/CD, martial/JJ, art/NN, students/NNS, spar/VBP, in/IN, a/DT, tournament/NN, ./.] 	78
[There/EX, is/VBZ, a/DT, tacos/NNS, buffet/NN, ./.] 	[The/DT, buffet/NN, is/VBZ, only/RB, seafood/NN, ./.] 	79
[The/DT, pet/NN, has/VBZ, a/DT, leash/NN, for/IN, safety/NN, ./.] 	[This/DT, man/NN, has/VBZ, safety/NN, gear/NN, on/IN, ./.] 	80
[Some/DT, people/NNS, wait/VB, for/IN, a/DT, taxi/NN, ./.] 	[Some/DT, people/NNS, wait/VB, for/IN, a/DT, train/NN, ./.] 	81
[An/DT, automobile/NN, accident/NN] 	[A/DT, crash/NN, immobilizes/VBZ, a/DT, car/NN, ./.] 	82
[The/DT, band/NN, is/VBZ, in/IN, a/DT, parade/NN, ./.] 	[The/DT, band/NN, is/VBZ, in/IN, a/DT, Christmas/NNP, parade/NN, ./.] 	83
[Person/NN, on/IN, horseback/NN] 	[The/DT, person/NN, rode/VBD, a/DT, horse/NN, ./.] 	84
[A/DT, lawn/NN, mower/NN, is/VBZ, right/JJ, next/IN, to/TO, a/DT, person/NN, ./.] 	[The/DT, guy/NN, is/VBZ, standing/VBG, next/JJ, to/TO, a/DT, tree/NN, ./.] 	85
[Some/DT, people/NNS, in/IN, a/DT, building/NN, ./.] 	[People/NNS, are/VBP, in/IN, a/DT, building/NN, ./.] 	86
[A/DT, man/NN, was/VBD, in/IN, a/DT, race/NN, with/IN, a/DT, scooter/NN, ./.] 	[A/DT, man/NN, running/VBG, in/IN, a/DT, race/NN, ./.] 	87
[The/DT, yellow/JJ, and/CC, green/JJ, team/NN, played/VBD, soccer/NN] 	[the/DT, football/NN, team/NN, is/VBZ, wearing/VBG, red/JJ, and/CC, green/JJ] 	88
[The/DT, women/NNS, are/VBP, sitting/VBG, on/IN, the/DT, ski/NN, lift/NN] 	[The/DT, people/NNS, are/VBP, on/IN, a/DT, ski/NN, lift/NN] 	89
[A/DT, large/JJ, number/NN, of/IN, railway/NN, workers/NNS, wearing/VBG, orange/JJ, vests/NNS, that/WDT, shine/VBP, by/IN, day/NN, and/CC, hard/JJ, hats/NNS, are/VBP, standing/VBG, on/IN, some/DT, railroad/NN, tracks/NNS, ./.] 	[Several/JJ, workers/NNS, in/IN, orange/JJ, vests/NNS, and/CC, white/JJ, construction/NN, hats/NNS, holding/VBG, blue/JJ, bags/NNS, are/VBP, working/VBG, along/IN, side/NN, railroad/NN, tracks/NNS, ./.] 	90
[A/DT, young/JJ, Asian/JJ, boy/NN, running/VBG, with/IN, a/DT, white/JJ, and/CC, gray/JJ, dog/NN, on/IN, green/JJ, grass/NN, ./.] 	[A/DT, black/JJ, dog/NN, and/CC, a/DT, brown/JJ, and/CC, white/JJ, dog/NN, running/VBG, in/IN, the/DT, grass/NN, ./.] 	91
[A/DT, mother/NN, and/CC, daughter/NN, are/VBP, cooking/NN, ./.] 	[An/DT, older/JJR, woman/NN, is/VBZ, cooking/VBG, for/IN, her/PRP$, family/NN, ./.] 	92
[An/DT, African-American/JJ, band/NN, is/VBZ, playing/VBG, outdoors/RB, on/IN, a/DT, stage/NN, surrounded/VBN, by/IN, trees/NNS, ./.] 	[There/EX, is/VBZ, a/DT, band/NN, performing/VBG, in/IN, front/NN, of/IN, a/DT, large/JJ, crowd/NN] 	93
[A/DT, man/NN, climbs/VBZ, the/DT, steps/NNS, between/IN, two/CD, houses/NNS, at/IN, night/NN] 	[Two/CD, people/NNS, sit/VBP, at/IN, a/DT, table/NN, under/IN, a/DT, tent/NN, as/IN, a/DT, third/JJ, man/NN, stands/VBZ, near/IN, them/PRP, ./.] 	94
[A/DT, lady/NN, walking/VBG, outside/NN, ./.] 	[a/DT, lady/NN, and/CC, girl/NN, walk/NN, outside/IN] 	95
[The/DT, classroom/NN, is/VBZ, for/IN, adults/NNS, only/RB, ./.] 	[The/DT, children/NNS, are/VBP, in/IN, a/DT, classroom/NN, ./.] 	96
[The/DT, man/NN, is/VBZ, flying/VBG, a/DT, space/NN, shuttle/NN, ./.] 	[THere/NNP, is/VBZ, a/DT, plane/NN, in/IN, the/DT, hangar/NN, ./.] 	97
[A/DT, woman/NN, in/IN, comfortable/JJ, clothes/NNS, is/VBZ, fixing/VBG, her/PRP$, toenails/NNS, ./.] 	[There/EX, is/VBZ, a/DT, women/NNS, getting/VBG, her/PRP$, hand/NN, painted/VBD] 	98
[There/EX, 's/VBZ, an/DT, old/JJ, man/NN, ,/,, ironing/VBG, a/DT, shirt/NN, for/IN, his/PRP$, job/NN, ./.] 	[A/DT, man/NN, with/IN, a/DT, shirt/NN, is/VBZ, doing/VBG, work/NN, ./.] 	99
[A/DT, professional/JJ, roofer/NN, thinks/VBZ, about/IN, how/WRB, better/JJR, are/VBP, other/JJ, forms/NNS, of/IN, roof/NN, ./.] 	[The/DT, human/JJ, has/VBZ, some/DT, floating/VBG, things/NNS, while/IN, in/IN, the/DT, white/JJ, hard/JJ, stuff/NN, ./.] 	100
[A/DT, brown/JJ, and/CC, white/JJ, dog/NN, standing/NN, on/IN, the/DT, bank/NN, of/IN, the/DT, river/NN, looking/VBG, at/IN, his/PRP$, master/NN, ./.] 	[A/DT, brown/JJ, and/CC, white/JJ, dog/NN, is/VBZ, standing/VBG, in/IN, the/DT, river/NN, by/IN, the/DT, bank/NN, ./.] 	101
[He/PRP, feels/VBZ, the/DT, rhythm/NN] 	[Nobody/NN, is/VBZ, playing/VBG, the/DT, drumset/NN, ./.] 	102
[Two/CD, people/NNS, cross/VBP, the/DT, street/NN, in/IN, front/NN, of/IN, an/DT, ambulance/NN, ./.] 	[A/DT, group/NN, of/IN, people/NNS, are/VBP, walking/VBG, along/IN, the/DT, side/NN, of/IN, the/DT, road/NN, ./.] 	103
[A/DT, young/JJ, boy/NN, plays/VBZ, a/DT, video/NN, game/NN, at/IN, a/DT, McDonald/NNP, 's/POS, restaurant/NN, ./.] 	[A/DT, boy/NN, plays/VBZ, a/DT, video/NN, game/NN, at/IN, mCDonald/NNP, 's/POS] 	104
[The/DT, woman/NN, is/VBZ, outside/JJ, waiting/VBG, for/IN, a/DT, walk/NN, ./.] 	[A/DT, woman/NN, is/VBZ, waiting/VBG, for/IN, the/DT, bus/NN, ./.] 	105
[Four/CD, guys/NNS, on/IN, a/DT, boat/NN, together/RB] 	[Three/CD, boys/NNS, put/VBN, together/RB, a/DT, sailboat/NN, ./.] 	106
[A/DT, brown/JJ, dog/NN, running/VBG, across/IN, an/DT, open/JJ, field/NN, ./.] 	[A/DT, brown/JJ, dog/NN, runs/VBZ, through/IN, a/DT, field/NN, ./.] 	107
[Group/NN, of/IN, children/NNS, fighting/VBG, ./.] 	[A/DT, group/NN, of/IN, girls/NNS] 	108
[People/NNS, looking/VBG, at/IN, a/DT, garden/NN] 	[People/NNS, sitting/VBG, at/IN, a/DT, garden/NN, ./.] 	109
[A/DT, woman/NN, wearing/VBG, something/NN, looks/VBZ, happy/JJ, ./.] 	[A/DT, man/NN, is/VBZ, helping/VBG, someone/NN, get/VB, dressed/VBN, ./.] 	110
[Two/CD, small/JJ, dogs/NNS, are/VBP, in/IN, a/DT, cage/NN, outside/NN, ./.] 	[The/DT, two/CD, dogs/NNS, are/VBP, in/IN, a/DT, cage/NN, ./.] 	111
[The/DT, ladies/NNS, are/VBP, trotting/VBG, down/IN, the/DT, street/NN, ./.] 	[The/DT, men/NNS, walk/VBP, down/IN, the/DT, street/NN, with/IN, their/PRP$, kids/NNS, ./.] 	112
[A/DT, person/NN, animates/VBZ, from/IN, the/DT, stands/NNS, ./.] 	[A/DT, person/NN, standing/NN, in/IN, a/DT, crowd/NN, ./.] 	113
[The/DT, animals/NNS, are/VBP, in/IN, cages/NNS, at/IN, the/DT, zoo/NN, ./.] 	[The/DT, dogs/NNS, are/VBP, in/IN, cages/NNS, ./.] 	114
[Men/NN, with/IN, long/JJ, hair/NN, play/NN, instruments/NNS, while/IN, their/PRP$, dog/NN, lies/VBZ, on/IN, the/DT, couch/NN] 	[The/DT, dogs/NNS, are/VBP, playing/VBG, with/IN, a/DT, rope/NN, ./.] 	115
[A/DT, girl/NN, with/IN, dark/JJ, brown/JJ, hair/NN, is/VBZ, sitting/VBG, at/IN, a/DT, table/NN, and/CC, looking/VBG, over/IN, her/PRP$, shoulder/NN, ./.] 	[A/DT, woman/NN, with/IN, orange/JJ, hair/NN, is/VBZ, looking/VBG, over/IN, her/PRP$, left/JJ, shoulder/NN, ./.] 	116
[A/DT, black/JJ, and/CC, white/JJ, dog/NN, lying/VBG, down/RP, with/IN, a/DT, large/JJ, stick/NN, under/IN, its/PRP$, paw/NN, ./.] 	[A/DT, white/JJ, and/CC, brown/JJ, cat/NN, is/VBZ, laying/VBG, down/RP, on/IN, a/DT, red/JJ, jacket/NN, with/IN, a/DT, rodent/JJ, standing/NN, on/IN, it/PRP, ./.] 	117
[A/DT, group/NN, of/IN, people/NNS, run/VBP, a/DT, float/NN] 	[A/DT, group/NN, of/IN, people/NNS, on/IN, a/DT, break/NN, ./.] 	118
[Two/CD, young/JJ, women/NNS, in/IN, black/JJ, t-shirts/NNS, eat/VBP, at/IN, a/DT, table/NN, ./.] 	[The/DT, two/CD, women/NNS, in/IN, blue/JJ, shirts/NNS, eat/VBP, dinner/NN, with/IN, the/DT, kids/NNS, ./.] 	119
[Dogs/NNS, drink/VBP, some/DT, water/NN, in/IN, the/DT, grass/NN] 	[The/DT, dogs/NNS, are/VBP, in/IN, water/NN, ./.] 	120
