[nummod(men-2, two-1), nsubj(crying-4, men-2), aux(crying-4, are-3), root(ROOT-0, crying-4)] 	[nummod(men-2, Two-1), nsubj(laughing-3, men-2), root(ROOT-0, laughing-3), punct(laughing-3, .-4)] 	1
[nsubj(walks-2, Boy-1), root(ROOT-0, walks-2), amod(man-4, past-3), dobj(walks-2, man-4), case(overalls-7, in-5), amod(overalls-7, orange-6), nmod:in(man-4, overalls-7), nsubj(garbage-11, who-8), cop(garbage-11, is-9), amod(garbage-11, sweeping-10), acl:relcl(man-4, garbage-11), case(street-14, from-12), det(street-14, the-13), nmod:from(garbage-11, street-14), punct(walks-2, .-15)] 	[root(ROOT-0, Women-1), acl(Women-1, carrying-2), det(bag-5, a-3), amod(bag-5, black-4), nsubj(cross-6, bag-5), ccomp(carrying-2, cross-6), det(street-8, the-7), dobj(cross-6, street-8), punct(Women-1, .-9)] 	24
[nummod(men-2, Two-1), nsubj(trying-4, men-2), aux(trying-4, are-3), root(ROOT-0, trying-4), mark(drink-6, to-5), xcomp(trying-4, drink-6), dobj(drink-6, beer-7), case(tubing-9, while-8), nmod:while(drink-6, tubing-9), punct(trying-4, .-10)] 	[nummod(women-2, Two-1), root(ROOT-0, women-2), acl(women-2, carrying-3), dobj(carrying-3, drinks-4), cc(women-2, and-5), nummod(PAG-7, two-6), conj:and(women-2, PAG-7), punct(women-2, .-8)] 	25
[det(man-2, The-1), nsubj(riding-4, man-2), aux(riding-4, is-3), root(ROOT-0, riding-4), det(ski-7, a-5), compound(ski-7, jet-6), dobj(riding-4, ski-7), punct(riding-4, .-8)] 	[nsubj(riding-2, Dog-1), root(ROOT-0, riding-2), det(plane-4, a-3), dobj(riding-2, plane-4), punct(riding-2, .-5)] 	26
[nsubj(standing-3, Girls-1), aux(standing-3, are-2), root(ROOT-0, standing-3), advmod(standing-3, up-4), punct(standing-3, .-5)] 	[nsubj(stood-2, Girls-1), root(ROOT-0, stood-2), advmod(stood-2, by-3), punct(stood-2, .-4)] 	27
[root(ROOT-0, men-1), acl(men-1, sitting-2), case(couch-5, on-3), nmod:poss(couch-5, their-4), nmod:on(sitting-2, couch-5), mark(eating-7, while-6), advcl(sitting-2, eating-7), dobj(eating-7, bull-8)] 	[nummod(women-2, Two-1), root(ROOT-0, women-2), dep(women-2, Tjlsan-3), case(table-5, to-4), nmod:to(Tjlsan-3, table-5), nmod:poss(clothes-7, their-6), nsubj(resemble-8, clothes-7), acl:relcl(table-5, resemble-8), dobj(resemble-8, frogs-9)] 	28
[det(man-2, A-1), nsubj(bending-4, man-2), aux(bending-4, is-3), root(ROOT-0, bending-4), compound:prt(bending-4, down-5), case(park-8, in-6), det(park-8, a-7), nmod:in(bending-4, park-8), case(woman-12, next-9), mwe(next-9, to-10), det(woman-12, a-11), nmod:next_to(park-8, woman-12), case(bike-15, on-13), det(bike-15, a-14), nmod:on(woman-12, bike-15), punct(bending-4, .-16)] 	[det(man-2, A-1), root(ROOT-0, man-2), case(wheelchair-5, in-3), det(wheelchair-5, a-4), nmod:in(man-2, wheelchair-5), acl(wheelchair-5, walking-6), case(sidewalk-9, down-7), det(sidewalk-9, the-8), nmod:down(walking-6, sidewalk-9)] 	29
[nummod(men-2, Two-1), root(ROOT-0, men-2), case(platform-5, on-3), det(platform-5, a-4), nmod:on(men-2, platform-5)] 	[nummod(men-2, Four-1), root(ROOT-0, men-2), case(platform-5, on-3), det(platform-5, the-4), nmod:on(men-2, platform-5), punct(men-2, .-6)] 	30
[det(man-3, The-1), amod(man-3, homeless-2), root(ROOT-0, man-3), dep(man-3, is-4), advmod(is-4, alone-5), case(box-8, in-6), nmod:poss(box-8, his-7), nmod:in(alone-5, box-8), punct(man-3, .-9)] 	[compound(Home-2, Man-1), root(ROOT-0, Home-2), case(Home-2, Alone-3)] 	31
[det(bunch-2, A-1), root(ROOT-0, bunch-2), case(people-4, of-3), nmod:of(bunch-2, people-4), acl(people-4, gathered-5), case(beach-8, on-6), det(beach-8, a-7), nmod:on(gathered-5, beach-8), punct(bunch-2, .-9)] 	[det(group-2, A-1), root(ROOT-0, group-2), case(people-4, of-3), nmod:of(group-2, people-4), case(beach-7, on-5), det(beach-7, the-6), nmod:on(people-4, beach-7), punct(group-2, .-8)] 	32
[det(girl-2, The-1), nsubj(sitting-4, girl-2), aux(sitting-4, is-3), root(ROOT-0, sitting-4), cc(sitting-4, and-5), conj:and(sitting-4, drinking-6), dobj(drinking-6, water-7), punct(sitting-4, .-8)] 	[amod(water-4, Sitting-1), compound(water-4, girl-2), compound(water-4, drink-3), root(ROOT-0, water-4), punct(water-4, .-5)] 	33
[det(lady-2, A-1), nsubj(shows-3, lady-2), root(ROOT-0, shows-3), det(guy-5, a-4), dobj(shows-3, guy-5), det(reptile-7, a-6), dep(guy-5, reptile-7), mark(background-14, while-8), det(child-10, another-9), nsubj(background-14, child-10), cop(background-14, is-11), case(background-14, in-12), det(background-14, the-13), dep(reptile-7, background-14), punct(shows-3, .-15)] 	[nsubj(picks-2, Girl-1), root(ROOT-0, picks-2), compound:prt(picks-2, up-3), det(image-5, the-4), dobj(picks-2, image-5), case(older-8, of-6), det(older-8, an-7), nmod:of(image-5, older-8), case(garden-12, in-9), det(garden-12, a-10), amod(garden-12, wide-11), nmod:in(older-8, garden-12), dobj(picks-2, Girl-13)] 	34
[det(people-2, The-1), nsubj(clapping-5, people-2), aux(clapping-5, are-3), neg(clapping-5, not-4), root(ROOT-0, clapping-5), punct(clapping-5, .-6)] 	[root(ROOT-0, People-1), det(Aapson-3, all-2), dep(People-1, Aapson-3), punct(People-1, .-4)] 	35
[compound(race-2, Jockeys-1), root(ROOT-0, race-2), det(horses-5, the-3), amod(horses-5, fast-4), dobj(race-2, horses-5), punct(race-2, .-6)] 	[compound(Atsabakan-2, Varsan-1), root(ROOT-0, Atsabakan-2), case(horseback-4, on-3), nmod:on(Atsabakan-2, horseback-4), punct(Atsabakan-2, .-5)] 	36
[nsubj(playing-3, They-1), aux(playing-3, are-2), root(ROOT-0, playing-3), case(set-7, with-4), det(set-7, an-5), amod(set-7, antique-6), nmod:with(playing-3, set-7), punct(playing-3, .-8)] 	[det(men-2, The-1), root(ROOT-0, men-2), case(table-6, next-3), mwe(next-3, to-4), det(table-6, the-5), nmod:next_to(men-2, table-6), punct(men-2, .-7)] 	37
[det(people-2, The-1), nsubj(water-6, people-2), cop(water-6, are-3), case(water-6, in-4), det(water-6, the-5), root(ROOT-0, water-6), punct(water-6, .-7)] 	[root(ROOT-0, People-1), case(water-4, in-2), det(water-4, the-3), nmod:in(People-1, water-4), punct(People-1, .-5)] 	38
[det(man-3, A-1), amod(man-3, young-2), nsubj(selling-8, man-3), nsubj(looks-5, who-4), acl:relcl(man-3, looks-5), xcomp(looks-5, Oriental-6), aux(selling-8, is-7), root(ROOT-0, selling-8), dobj(selling-8, things-9), punct(selling-8, .-10)] 	[case(girl-4, Like-1), det(girl-4, the-2), amod(girl-4, young-3), nmod:like(boots-9, girl-4), cop(boots-9, is-5), neg(boots-9, not-6), nmod:poss(boots-9, her-7), compound(boots-9, shoe-8), root(ROOT-0, boots-9), punct(boots-9, .-10)] 	39
[det(group-2, A-1), root(ROOT-0, group-2), case(yoga-6, of-3), compound(yoga-6, women-4), compound(yoga-6, practice-5), nmod:of(group-2, yoga-6), case(backyard-9, in-7), det(backyard-9, the-8), nmod:in(group-2, backyard-9), case(house-13, of-10), det(house-13, a-11), amod(house-13, yellow-12), nmod:of(backyard-9, house-13), punct(group-2, .-14)] 	[det(group-2, A-1), root(ROOT-0, group-2), case(people-4, of-3), nmod:of(group-2, people-4), acl(people-4, sitting-5), case(swimsuit-8, in-6), det(swimsuit-8, a-7), nmod:in(sitting-5, swimsuit-8), case(beach-11, on-9), det(beach-11, a-10), nmod:on(sitting-5, beach-11), case(postures-14, in-12), compound(postures-14, yoga-13), nmod:in(beach-11, postures-14), punct(group-2, .-15)] 	40
[det(boy-2, The-1), nsubj(ready-4, boy-2), cop(ready-4, is-3), root(ROOT-0, ready-4), mark(take-6, to-5), xcomp(ready-4, take-6), det(swing-8, a-7), dobj(take-6, swing-8), case(ball-11, at-9), det(ball-11, a-10), nmod:at(take-6, ball-11), advcl(take-6, using-12), det(bat-14, a-13), dobj(using-12, bat-14), punct(ready-4, .-15)] 	[det(boy-2, A-1), nsubj(prepares-3, boy-2), root(ROOT-0, prepares-3), mark(catch-5, to-4), xcomp(prepares-3, catch-5), det(ball-7, a-6), dobj(catch-5, ball-7), punct(prepares-3, .-8)] 	41
[nummod(women-2, Four-1), nsubj(sit-7, women-2), acl(women-2, wearing-3), dobj(wearing-3, bicycle-4), acl(bicycle-4, riding-5), dobj(riding-5, clothing-6), root(ROOT-0, sit-7), case(bench-10, on-8), det(bench-10, a-9), nmod:on(sit-7, bench-10), punct(sit-7, .-11)] 	[nummod(men-2, Two-1), root(ROOT-0, men-2), acl(men-2, sitting-3), case(grass-6, on-4), det(grass-6, the-5), nmod:on(sitting-3, grass-6), acl(grass-6, wearing-7), compound(helmets-9, bicycle-8), dobj(wearing-7, helmets-9), punct(men-2, .-10)] 	42
[det(man-2, The-1), nsubj(taking-4, man-2), aux(taking-4, is-3), root(ROOT-0, taking-4), det(picture-6, a-5), dobj(taking-4, picture-6), case(Building-11, of-7), det(Building-11, the-8), compound(Building-11, Empire-9), compound(Building-11, State-10), nmod:of(picture-6, Building-11), punct(taking-4, .-12)] 	[root(ROOT-0, Women-1), case(military-4, in-2), det(military-4, the-3), nmod:in(Women-1, military-4), punct(Women-1, .-5)] 	43
[det(people-2, The-1), nsubj(sleeping-4, people-2), aux(sleeping-4, are-3), root(ROOT-0, sleeping-4), case(snow-7, in-5), det(snow-7, the-6), nmod:in(sleeping-4, snow-7), punct(sleeping-4, .-8)] 	[root(ROOT-0, People-1), case(snow-4, in-2), det(snow-4, the-3), nmod:in(People-1, snow-4), punct(People-1, .-5)] 	44
[det(insect-2, The-1), nsubj(Mars-5, insect-2), cop(Mars-5, is-3), case(Mars-5, from-4), root(ROOT-0, Mars-5), punct(Mars-5, .-6)] 	[amod(fly-2, Insect-1), root(ROOT-0, fly-2), punct(fly-2, .-3)] 	45
[det(group-2, A-1), root(ROOT-0, group-2), case(people-4, of-3), nmod:of(group-2, people-4), acl(people-4, eating-5), advmod(eating-5, outdoors-6), punct(group-2, .-7)] 	[det(group-2, A-1), nsubj(eat-5, group-2), case(people-4, of-3), nmod:of(group-2, people-4), root(ROOT-0, eat-5)] 	46
[det(vaulter-4, A-1), amod(vaulter-4, teenage-2), compound(vaulter-4, pole-3), nsubj(performing-6, vaulter-4), aux(performing-6, is-5), root(ROOT-0, performing-6), punct(performing-6, .-7)] 	[nsubj(performs-2, Slider-1), root(ROOT-0, performs-2), det(jump-4, a-3), dobj(performs-2, jump-4), punct(performs-2, .-5)] 	47
[det(girl-2, The-1), nsubj(learning-4, girl-2), aux(learning-4, is-3), root(ROOT-0, learning-4), advmod(use-7, how-5), mark(use-7, to-6), ccomp(learning-4, use-7), det(microscope-9, a-8), dobj(use-7, microscope-9), punct(learning-4, .-10)] 	[det(woman-3, An-1), amod(woman-3, elderly-2), nsubj(showing-4, woman-3), root(ROOT-0, showing-4), advmod(use-7, how-5), mark(use-7, to-6), ccomp(showing-4, use-7), det(table-10, the-8), amod(table-10, washing-9), dobj(use-7, table-10), mark(do-12, to-11), advcl(use-7, do-12), det(laundry-14, the-13), dobj(do-12, laundry-14), punct(showing-4, .-15)] 	48
[nummod(men-2, Two-1), root(ROOT-0, men-2), acl(men-2, dressed-3), case(button-7, in-4), amod(button-7, white-5), compound(button-7, shirts-6), nmod:in(dressed-3, button-7), case(shirts-9, down-8), nmod:down(button-7, shirts-9), punct(shirts-9, ,-10), amod(hats-12, white-11), conj(shirts-9, hats-12), punct(shirts-9, ,-13), case(scarves-16, with-14), amod(scarves-16, blue-15), nmod:with(shirts-9, scarves-16), acl(scarves-16, tied-17), compound:prt(tied-17, around-18), nmod:poss(necks-20, their-19), dobj(tied-17, necks-20)] 	[nummod(men-2, Three-1), root(ROOT-0, men-2), acl(men-2, dressed-3), case(shirts-9, in-4), amod(shirts-9, red-5), cc(red-5, and-6), conj:and(red-5, white-7), amod(shirts-9, striped-8), nmod:in(dressed-3, shirts-9), punct(shirts-9, ,-10), amod(shorts-12, white-11), conj:and(shirts-9, shorts-12), cc(shirts-9, and-13), amod(hats-15, black-14), conj:and(shirts-9, hats-15), acl(hats-15, carrying-16), dobj(carrying-16, flags-17), punct(men-2, .-18)] 	49
[det(man-2, A-1), nsubj(is-3, man-2), root(ROOT-0, is-3), nsubj(is-3, that-4), advmod(purchased-6, just-5), dep(that-4, purchased-6), cc(purchased-6, and-7), conj:and(purchased-6, put-8), case(necklace-13, on-9), det(necklace-13, a-10), compound(necklace-13, rainbow-11), amod(necklace-13, colored-12), nmod:on(purchased-6, necklace-13), cc(purchased-6, and-14), cop(happy-17, is-15), advmod(happy-17, very-16), conj:and(purchased-6, happy-17), punct(is-3, .-18)] 	[det(man-2, A-1), root(ROOT-0, man-2), cc(man-2, and-3), det(child-5, a-4), conj:and(man-2, child-5), case(sand-8, on-6), det(sand-8, the-7), nmod:on(child-5, sand-8), punct(man-2, .-9)] 	50
[det(boys-3, The-1), amod(boys-3, young-2), nsubj(brothers-5, boys-3), cop(brothers-5, are-4), root(ROOT-0, brothers-5), punct(brothers-5, .-6)] 	[compound(brothers-4, Neonates-1), nummod(brothers-4, two-2), amod(brothers-4, little-3), root(ROOT-0, brothers-4), punct(brothers-4, .-5)] 	51
[nummod(kids-2, Two-1), nsubj(field-6, kids-2), cop(field-6, are-3), case(field-6, in-4), det(field-6, a-5), root(ROOT-0, field-6), punct(field-6, .-7)] 	[nummod(dogs-2, Two-1), nsubj(working-4, dogs-2), aux(working-4, were-3), root(ROOT-0, working-4), case(field-7, in-5), det(field-7, a-6), nmod:in(working-4, field-7)] 	52
[expl(were-2, There-1), root(ROOT-0, were-2), advmod(strawberries-4, only-3), nsubj(were-2, strawberries-4), mark(eat-6, to-5), acl(strawberries-4, eat-6), case(shower-10, at-7), det(shower-10, the-8), compound(shower-10, baby-9), nmod:at(eat-6, shower-10), punct(were-2, .-11)] 	[root(ROOT-0, People-1), case(ceremony-4, at-2), det(ceremony-4, the-3), nmod:at(People-1, ceremony-4), amod(People-1, newborn-5)] 	53
[expl(is-2, There-1), root(ROOT-0, is-2), det(bear-4, a-3), nsubj(is-2, bear-4), case(store-8, in-5), det(store-8, the-6), compound(store-8, jewelry-7), nmod:in(bear-4, store-8), punct(is-2, .-9)] 	[root(ROOT-0, Women-1), case(store-4, in-2), det(store-4, the-3), nmod:in(Women-1, store-4), acl(store-4, looking-5), case(things-7, for-6), nmod:for(looking-5, things-7), case(supplies-9, in-8), nmod:in(things-7, supplies-9)] 	54
[det(man-2, A-1), nsubj(holding-4, man-2), aux(holding-4, is-3), root(ROOT-0, holding-4), det(monitor-7, a-5), compound(monitor-7, computer-6), dobj(holding-4, monitor-7), punct(holding-4, .-8)] 	[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, working-3), case(window-6, in-4), det(window-6, the-5), nmod:in(working-3, window-6), punct(man-2, .-7)] 	55
[det(man-2, the-1), nsubj(using-4, man-2), aux(using-4, is-3), root(ROOT-0, using-4), det(suit-7, a-5), compound(suit-7, heat-6), nsubj(control-8, suit-7), ccomp(using-4, control-8), det(flame-10, the-9), dobj(control-8, flame-10)] 	[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, using-3), det(blowtorch-5, a-4), dobj(using-3, blowtorch-5), mark(melt-7, to-6), acl(blowtorch-5, melt-7), det(plastic-9, the-8), dobj(melt-7, plastic-9), punct(man-2, .-10)] 	56
[nsubj(breaks-2, Superman-1), root(ROOT-0, breaks-2), case(sign-5, down-3), det(sign-5, the-4), nmod:down(breaks-2, sign-5), mark(pass-10, so-6), det(group-8, the-7), nsubj(pass-10, group-8), aux(pass-10, may-9), advcl(breaks-2, pass-10)] 	[nsubj(trying-3, Bull-1), aux(trying-3, is-2), root(ROOT-0, trying-3), mark(take-5, to-4), xcomp(trying-3, take-5), det(man-7, a-6), dobj(take-5, man-7), case(man-7, 's-8), compound:prt(take-5, back-9)] 	57
